,ID,First Name,Email,Gender,City,Created,Academic Year,Company Name/ College Name,Would you like to know more about us and our programs?,Are you interested in knowing more about our events?,Have you recommended Cloud Counselage to anyone?,How did you come to know about this event?,Branch,College,Month,Year,Year of Graduation
0,68112,ANIKET,aniket@xyz.com,,,2022-04-27 13:41:38,0,,yes,yes,no,,,,4,2022, 
1,68110,Dhanshree,dhanshree@xyz.com,,,2022-04-22 16:08:38,0,,yes,yes,no,,,,4,2022, 
2,68108,Dhiraj,dhiraj@xyz.com,,,2022-04-16 22:31:59,0,,yes,yes,no,,,,4,2022, 
3,68106,Pooja,pooja@xyz.com,,,2022-04-13 22:05:15,0,,yes,yes,no,,,,4,2022, 
4,68090,Aayush,aayush@xyz.com,,,2022-03-26 19:02:48,0,,yes,yes,no,,,,3,2022, 
5,68088,Mrunali,mrunali@xyz.com,,,2022-03-26 12:33:23,0,,yes,yes,no,,,,3,2022, 
6,68086,Durga,durga@xyz.com,,,2022-03-26 12:29:28,0,,yes,yes,no,,,,3,2022, 
7,68084,Ruchit,ruchit@xyz.com,,,2022-03-26 11:25:23,0,,yes,yes,no,,,,3,2022, 
8,68082,Mayuresh,mayuresh@xyz.com,,,2022-03-26 11:25:14,0,,yes,yes,no,,,,3,2022, 
9,68080,ROHIT,rohit@xyz.com,,,2022-03-26 00:47:51,0,,yes,yes,no,,,,3,2022, 
10,68078,Nutan,nutan@xyz.com,,,2022-03-25 21:37:14,0,,yes,yes,no,,,,3,2022, 
11,68076,Yogesh,yogesh@xyz.com,,,2022-03-25 13:24:22,0,,yes,yes,no,,,,3,2022, 
12,68074,Pranali,pranali@xyz.com,,,2022-03-23 17:05:02,0,,yes,yes,no,,,,3,2022, 
13,68072,Gaurang,gaurang@xyz.com,,,2022-03-21 22:03:47,0,,yes,yes,no,,,,3,2022, 
14,68070,Saba,saba@xyz.com,,,2022-03-21 17:00:45,0,,yes,yes,no,,,,3,2022, 
15,68068,Apurva ,apurva@xyz.com,,,2022-03-19 16:44:18,0,,yes,yes,no,,,,3,2022, 
16,68066,Soumitra,soumitra@xyz.com,,,2022-03-19 15:01:19,0,,yes,yes,no,,,,3,2022, 
17,68064,Tanmay,tanmay@xyz.com,,,2022-03-19 13:17:52,0,,yes,yes,no,,,,3,2022, 
18,68030,SUMIT,sumit@xyz.com,,,2022-02-28 17:32:03,0,,yes,yes,no,,,,2,2022, 
19,68028,Shubham ,shubham@xyz.com,,,2022-02-28 12:09:17,0,,yes,yes,no,,,,2,2022, 
20,68026,Shreyas,shreyas@xyz.com,,,2022-02-27 20:15:29,0,,yes,yes,no,,,,2,2022, 
21,68024,Shivani,shivani@xyz.com,,,2022-02-27 19:22:38,0,,yes,yes,no,,,,2,2022, 
22,68022,Swapnil,swapnil@xyz.com,,,2022-02-27 19:01:54,0,,yes,yes,no,,,,2,2022, 
23,68020,Manasi ,manasi@xyz.com,,,2022-02-27 18:38:59,0,,yes,yes,no,,,,2,2022, 
24,68018,Damini,damini@xyz.com,,,2022-02-27 18:07:22,0,,yes,yes,no,,,,2,2022, 
25,68016,Hemant ,hemant@xyz.com,,,2022-02-27 14:16:39,0,,yes,yes,no,,,,2,2022, 
26,68014,Gaurav,gaurav@xyz.com,,,2022-02-27 12:22:32,0,,yes,yes,no,,,,2,2022, 
27,68012,Gauravsing,gauravsing@xyz.com,,,2022-02-27 11:32:53,0,,yes,yes,no,,,,2,2022, 
28,68010,Harshal,harshal@xyz.com,,,2022-02-27 10:53:37,0,,yes,yes,no,,,,2,2022, 
29,68008,Jitesh,jitesh@xyz.com,,,2022-02-27 10:38:22,0,,yes,yes,no,,,,2,2022, 
31,68004,Ashish,ashish@xyz.com,,,2022-02-27 10:14:53,0,,yes,yes,no,,,,2,2022, 
35,67996,Prachi,prachi@xyz.com,,,2022-02-27 00:03:09,0,,yes,yes,no,,,,2,2022, 
36,67994,Priya,priya@xyz.com,,,2022-02-26 23:47:11,0,,yes,yes,no,,,,2,2022, 
37,67992,Ashwini ,ashwini@xyz.com,,,2022-02-26 23:47:11,0,,yes,yes,no,,,,2,2022, 
38,67990,Chetan,chetan@xyz.com,,,2022-02-26 23:43:59,0,,yes,yes,no,,,,2,2022, 
39,67988,Aakanksha ,aakanksha@xyz.com,,,2022-02-26 23:43:32,0,,yes,yes,no,,,,2,2022, 
40,67986,Dhanshri ,dhanshri@xyz.com,,,2022-02-26 23:40:37,0,,yes,yes,no,,,,2,2022, 
41,67984,Aishwarya,aishwarya@xyz.com,,,2022-02-26 23:37:13,0,,yes,yes,no,,,,2,2022, 
42,67982,punam,punam@xyz.com,,,2022-02-26 23:26:40,0,,yes,yes,no,,,,2,2022, 
43,67980,Kanika ,kanika@xyz.com,,,2022-02-26 23:20:50,0,,yes,yes,no,,,,2,2022, 
44,67978,Pritish,pritish@xyz.com,,,2022-02-26 23:12:03,0,,yes,yes,no,,,,2,2022, 
45,67976,Laxmikant,laxmikant@xyz.com,,,2022-02-26 23:05:11,0,,yes,yes,no,,,,2,2022, 
46,67974,Balasubramani,balasubramani@xyz.com,,,2022-02-26 23:01:28,0,,yes,yes,no,,,,2,2022, 
47,67972,Rasika,rasika@xyz.com,,,2022-02-26 22:55:07,0,,yes,yes,no,,,,2,2022, 
58,67950,Param,param@xyz.com,,,2022-02-26 22:20:23,0,,yes,yes,no,,,,2,2022, 
59,67948,Ritesh,ritesh@xyz.com,,,2022-02-26 22:20:04,0,,yes,yes,no,,,,2,2022, 
60,67946,Harsh,harsh@xyz.com,,,2022-02-26 22:13:56,0,,yes,yes,no,,,,2,2022, 
61,67944,Sanika ,sanika@xyz.com,,,2022-02-26 22:12:36,0,,yes,yes,no,,,,2,2022, 
62,67942,Shruti,shruti@xyz.com,,,2022-02-26 22:12:05,0,,yes,yes,no,,,,2,2022, 
63,67940,Sonali ,sonali@xyz.com,,,2022-02-26 22:11:41,0,,yes,yes,no,,,,2,2022, 
64,67938,Sushant ,sushant@xyz.com,,,2022-02-26 22:09:24,0,,yes,yes,no,,,,2,2022, 
65,67936,Omkar,omkar@xyz.com,,,2022-02-26 22:08:17,0,,yes,yes,no,,,,2,2022, 
66,67934,Krutika ,krutika@xyz.com,,,2022-02-26 22:07:22,0,,yes,yes,no,,,,2,2022, 
67,67932,Sachin,sachin@xyz.com,,,2022-02-26 22:06:54,0,,yes,yes,no,,,,2,2022, 
68,67930,Lucifer,lucifer@xyz.com,,,2022-02-26 22:05:49,0,,yes,yes,no,,,,2,2022, 
70,67926,Varun,varun@xyz.com,,,2022-02-26 22:03:17,0,,yes,yes,no,,,,2,2022, 
71,67924,Upasana,upasana@xyz.com,,,2022-02-26 22:03:16,0,,yes,yes,no,,,,2,2022, 
72,67922,Anand,anand@xyz.com,,,2022-02-26 21:52:59,0,,yes,yes,no,,,,2,2022, 
73,67920,Karuna,karuna@xyz.com,,,2022-02-26 21:44:07,0,,yes,yes,no,,,,2,2022, 
74,67918,Vrinda,vrinda@xyz.com,,,2022-02-26 21:38:10,0,,yes,yes,no,,,,2,2022, 
75,67916,Vishal,vishal@xyz.com,,,2022-02-26 21:35:43,0,,yes,yes,no,,,,2,2022, 
76,67914,Sagarika,sagarika@xyz.com,,,2022-02-26 21:34:54,0,,yes,yes,no,,,,2,2022, 
77,67912,Shweta,shweta@xyz.com,,,2022-02-26 21:34:11,0,,yes,yes,no,,,,2,2022, 
78,67910,Madhuri,madhuri@xyz.com,,,2022-02-26 21:33:19,0,,yes,yes,no,,,,2,2022, 
79,67908,subhashchandra,subhashchandra@xyz.com,,,2022-02-26 21:30:10,0,,yes,yes,no,,,,2,2022, 
80,67906,Vaishnavi,vaishnavi@xyz.com,,,2022-02-26 21:25:55,0,,yes,yes,no,,,,2,2022, 
81,67904,Hanmant,hanmant@xyz.com,,,2022-02-26 21:18:40,0,,yes,yes,no,,,,2,2022, 
82,67902,Nimish,nimish@xyz.com,,,2022-02-26 19:29:00,0,,yes,yes,no,,,,2,2022, 
83,67900,Viki,viki@xyz.com,,,2022-02-26 19:24:02,0,,yes,yes,no,,,,2,2022, 
84,67898,Rutuja,rutuja@xyz.com,,,2022-02-26 19:11:34,0,,yes,yes,no,,,,2,2022, 
85,67896,Somnath ,somnath@xyz.com,,,2022-02-26 19:04:34,0,,yes,yes,no,,,,2,2022, 
86,67894,Rahul ,rahul@xyz.com,,,2022-02-26 18:55:33,0,,yes,yes,no,,,,2,2022, 
88,67890,Avantika,avantika@xyz.com,,,2022-02-26 18:45:51,0,,yes,yes,no,,,,2,2022, 
89,67888,Kalpesh,kalpesh@xyz.com,,,2022-02-26 18:45:05,0,,yes,yes,no,,,,2,2022, 
90,67886,Sunny,sunny@xyz.com,,,2022-02-26 18:44:11,0,,yes,yes,no,,,,2,2022, 
91,67884,Sarvesh,sarvesh@xyz.com,,,2022-02-26 18:43:45,0,,yes,yes,no,,,,2,2022, 
92,67882,Sanjay,sanjay@xyz.com,,,2022-02-26 18:28:57,0,,yes,yes,no,,,,2,2022, 
93,67880,amit,amit@xyz.com,,,2022-02-26 14:53:41,0,,yes,yes,no,,,,2,2022, 
94,67878,Apurv ,apurv@xyz.com,,,2022-02-26 09:57:14,0,,yes,yes,no,,,,2,2022, 
95,67876,Akash,akash@xyz.com,,,2022-02-25 23:15:59,0,,yes,yes,no,,,,2,2022, 
96,67874,Shraddha ,shraddha@xyz.com,,,2022-02-25 22:47:02,0,,yes,yes,no,,,,2,2022, 
97,67872,Supriya,supriya@xyz.com,,,2022-02-25 19:35:58,0,,yes,yes,no,,,,2,2022, 
98,67870,Pranit,pranit@xyz.com,,,2022-02-25 18:20:55,0,,yes,yes,no,,,,2,2022, 
99,67868,Pratiksha,pratiksha@xyz.com,,,2022-02-25 17:53:45,0,,yes,yes,no,,,,2,2022, 
101,67864,Nisha,nisha@xyz.com,,,2022-02-24 21:11:39,0,,yes,yes,no,,,,2,2022, 
102,67862,Rehan,rehan@xyz.com,,,2022-02-24 21:07:01,0,,yes,yes,no,,,,2,2022, 
103,67860,Vinit ,vinit@xyz.com,,,2022-02-24 20:56:30,0,,yes,yes,no,,,,2,2022, 
106,67854,Ninad,ninad@xyz.com,,,2022-02-24 20:49:47,0,,yes,yes,no,,,,2,2022, 
107,67852,Satish ,satish@xyz.com,,,2022-02-24 20:48:32,0,,yes,yes,no,,,,2,2022, 
108,67850,Vignesh,vignesh@xyz.com,,,2022-02-24 20:43:05,0,,yes,yes,no,,,,2,2022, 
109,67848,Dinesh,dinesh@xyz.com,,,2022-02-24 20:39:51,0,,yes,yes,no,,,,2,2022, 
110,67846,Ayushi,ayushi@xyz.com,,,2022-02-24 20:34:42,0,,yes,yes,no,,,,2,2022, 
111,67844,Yash,yash@xyz.com,,,2022-02-24 20:28:39,0,,yes,yes,no,,,,2,2022, 
